iter	RMSE
0	41752.95631
1	40046.2668
2	38985.92066
3	38338.17125
4	37955.17888
5	37633.1822
6	37442.64175
7	37323.12338
8	37218.56027
9	37150.81757
10	37009.79604
11	36958.12897
12	36905.6795
13	36827.41171
14	36786.12628
15	36754.00166
16	36674.73135
17	36650.0821
18	36620.2637
19	36584.15869
20	36551.54613
21	36485.27979
22	36469.25673
23	36438.82103
24	36406.58793
25	36380.51807
26	36365.97237
27	36346.85377
28	36328.65978
29	36303.83416
30	36289.6958
31	36255.6243
32	36228.30077
33	36216.04696
34	36208.70186
35	36194.72448
36	36183.62233
37	36169.70743
38	36149.87447
39	36134.41944
40	36123.91931
41	36102.24025
42	36074.75166
43	36063.77728
44	36054.58878
45	36042.28432
46	36029.19997
47	36016.11292
48	35995.56565
49	35978.15135
50	35965.12519
51	35947.78156
52	35935.75082
53	35922.18386
54	35894.76147
55	35887.13527
56	35881.84583
57	35869.74203
58	35854.0247
59	35844.69352
60	35829.84379
61	35811.80058
62	35792.57453
63	35785.44351
64	35779.28643
65	35750.08816
66	35741.52564
67	35734.20341
68	35723.71297
69	35719.11696
70	35713.93335
71	35708.42189
72	35687.07987
73	35680.96122
74	35671.68076
75	35668.12197
76	35658.67304
77	35653.64129
78	35645.55807
79	35635.53361
80	35630.61332
81	35621.5197
82	35607.68972
83	35602.44475
84	35594.61158
85	35588.24046
86	35579.24734
87	35572.09123
88	35565.63559
89	35554.32853
90	35545.08994
91	35533.05888
92	35525.73213
93	35520.58035
94	35515.06429
95	35511.57667
96	35494.4681
97	35488.76134
98	35484.58865
99	35480.29754
100	35473.49697
101	35467.97035
102	35464.76298
103	35459.19456
104	35453.74082
105	35447.63182
106	35439.89031
107	35436.01896
108	35433.23328
109	35426.67487
110	35422.23148
111	35415.41979
112	35412.7553
113	35401.90117
114	35398.59326
115	35395.87731
116	35390.51134
117	35387.50182
118	35382.77058
119	35379.17382
120	35371.99719
121	35367.82086
122	35354.45685
123	35348.85598
124	35344.65611
125	35341.10415
126	35334.47478
127	35327.8058
128	35323.27047
129	35315.36059
130	35308.392
131	35305.27351
132	35302.00215
133	35297.24702
134	35293.12788
135	35288.20535
136	35283.84029
137	35281.05992
138	35278.73168
139	35275.44443
140	35273.04293
141	35268.2318
142	35264.29643
143	35256.14926
144	35253.08793
145	35249.28111
146	35244.01275
147	35240.30455
148	35237.67631
149	35235.10495
150	35231.94956
151	35228.02846
152	35225.11191
153	35222.99871
154	35216.10023
155	35212.8176
156	35209.07014
157	35205.14981
158	35201.84374
159	35198.72051
160	35190.13083
161	35188.19485
162	35186.57744
163	35170.61708
164	35166.43533
165	35162.50788
166	35157.88172
167	35152.5137
168	35150.18629
169	35147.87534
170	35143.37079
171	35139.66664
172	35134.76034
173	35132.66871
174	35127.57181
175	35121.72216
176	35119.108
177	35116.54145
178	35113.0873
179	35110.17779
180	35108.85615
181	35107.37841
182	35105.02546
183	35102.76822
184	35097.69747
185	35094.62641
186	35092.40512
187	35089.70247
188	35087.08354
189	35081.91783
190	35079.76143
191	35077.30124
192	35072.30849
193	35068.77618
194	35066.23404
195	35064.79505
196	35061.78994
197	35059.23746
198	35055.61578
199	35054.018
200	35052.0354
201	35047.77814
202	35044.79803
203	35043.31006
204	35041.91823
205	35039.43884
206	35036.04668
207	35033.90395
208	35030.04671
209	35027.0295
210	35024.1933
211	35023.02476
212	35017.44755
213	35015.82058
214	35012.05176
215	35010.59874
216	35008.54735
217	35005.5333
218	35002.79607
219	35000.86333
220	34998.00227
221	34990.94508
222	34989.1335
223	34984.78588
224	34983.15593
225	34981.24871
226	34979.42368
227	34974.88233
228	34969.6739
229	34966.95144
230	34965.0672
231	34961.73557
232	34956.20591
233	34954.0055
234	34948.4917
235	34944.96228
236	34940.94459
237	34935.52975
238	34932.28975
239	34929.29911
240	34926.63241
241	34923.75567
242	34918.04428
243	34911.73871
244	34907.60963
245	34903.73567
246	34901.0698
247	34899.84196
248	34896.06221
249	34891.46324
250	34890.09652
251	34886.88606
252	34885.05666
253	34883.70655
254	34881.28177
255	34880.14074
256	34878.35179
257	34876.38947
258	34873.70663
259	34870.35853
260	34868.69033
261	34864.08709
262	34861.40886
263	34858.86378
264	34856.65314
265	34854.66881
266	34851.41958
267	34848.32545
268	34846.92358
269	34843.93064
270	34841.40092
271	34838.69532
272	34836.10587
273	34830.19501
274	34827.28578
275	34824.41763
276	34821.17544
277	34820.10364
278	34816.50125
279	34812.32957
280	34807.58062
281	34804.52558
282	34801.28558
283	34798.11527
284	34795.54877
285	34792.59399
286	34790.07836
287	34788.07194
288	34785.52054
289	34784.15402
290	34782.52817
291	34780.5054
292	34778.80509
293	34776.09814
294	34773.83968
295	34771.21544
296	34770.27834
297	34765.44336
298	34761.87809
299	34760.61271
300	34757.94642
301	34755.51021
302	34753.09913
303	34750.74391
304	34749.04841
305	34747.31658
306	34746.33778
307	34742.43042
308	34741.32674
309	34739.01108
310	34736.87159
311	34734.96583
312	34733.47665
313	34732.16136
314	34729.20934
315	34725.48261
316	34722.21281
317	34719.85897
318	34716.52752
319	34714.80375
320	34713.46956
321	34711.92864
322	34709.54029
323	34708.74685
