iter	Passed	Remaining
0	41	36872
1	50	22559
2	62	18729
3	76	17053
4	85	15250
5	96	14384
6	109	13891
7	118	13193
8	130	12843
9	138	12281
10	147	11855
11	156	11523
12	163	11135
13	172	10883
14	181	10662
15	189	10448
16	198	10244
17	207	10115
18	216	9980
19	224	9841
20	234	9761
21	242	9648
22	251	9553
23	259	9434
24	269	9396
25	282	9463
26	293	9442
27	306	9504
28	319	9566
29	334	9651
30	348	9726
31	361	9753
32	373	9757
33	384	9760
34	398	9795
35	409	9784
36	422	9809
37	434	9809
38	446	9819
39	461	9867
40	473	9877
41	488	9931
42	500	9925
43	513	9941
44	524	9924
45	538	9943
46	550	9940
47	562	9935
48	575	9951
49	586	9917
50	597	9895
51	606	9851
52	616	9802
53	626	9776
54	636	9738
55	647	9712
56	657	9671
57	667	9639
58	680	9649
59	689	9606
60	701	9603
61	714	9614
62	726	9605
63	736	9574
64	746	9541
65	757	9526
66	767	9502
67	778	9481
68	790	9470
69	799	9429
70	808	9399
71	819	9381
72	829	9350
73	839	9330
74	850	9305
75	860	9283
76	870	9260
77	879	9225
78	889	9201
79	899	9179
80	912	9182
81	925	9185
82	935	9158
83	945	9141
84	955	9120
85	966	9104
86	979	9104
87	990	9094
88	1000	9070
89	1011	9061
90	1023	9054
91	1033	9031
92	1044	9017
93	1055	9008
94	1066	8989
95	1078	8989
96	1091	8991
97	1103	8988
98	1116	8987
99	1129	8992
100	1143	9001
101	1155	8998
102	1167	8986
103	1177	8965
104	1187	8945
105	1198	8929
106	1208	8914
107	1219	8901
108	1230	8883
109	1242	8878
110	1256	8884
111	1267	8873
112	1278	8861
113	1289	8848
114	1300	8830
115	1310	8811
116	1321	8799
117	1332	8784
118	1342	8764
119	1354	8759
120	1366	8754
121	1378	8744
122	1389	8732
123	1401	8723
124	1411	8704
125	1421	8684
126	1431	8670
127	1442	8652
128	1451	8630
129	1461	8613
130	1471	8591
131	1481	8572
132	1491	8556
133	1505	8558
134	1521	8576
135	1534	8576
136	1547	8571
137	1557	8555
138	1568	8540
139	1578	8525
140	1592	8525
141	1611	8554
142	1635	8609
143	1663	8685
144	1682	8715
145	1705	8762
146	1728	8805
147	1750	8846
148	1776	8904
149	1797	8940
150	1815	8957
151	1831	8962
152	1847	8973
153	1865	8988
154	1882	8999
155	1900	9015
156	1918	9030
157	1934	9034
158	1950	9041
159	1970	9063
160	1988	9078
161	2004	9082
162	2020	9084
163	2037	9092
164	2051	9088
165	2068	9095
166	2080	9081
167	2092	9067
168	2104	9054
169	2114	9031
170	2126	9017
171	2136	8992
172	2145	8965
173	2154	8941
174	2163	8913
175	2172	8885
176	2182	8864
177	2191	8837
178	2199	8810
179	2208	8783
180	2217	8759
181	2225	8732
182	2235	8711
183	2245	8688
184	2254	8664
185	2262	8637
186	2271	8613
187	2281	8592
188	2290	8568
189	2300	8547
190	2309	8525
191	2319	8503
192	2329	8483
193	2339	8463
194	2349	8446
195	2358	8424
196	2369	8407
197	2379	8388
198	2389	8369
199	2398	8347
200	2408	8328
201	2417	8306
202	2427	8286
203	2435	8263
204	2445	8241
205	2454	8219
206	2464	8204
207	2475	8187
208	2485	8169
209	2496	8156
210	2514	8162
211	2537	8187
212	2563	8219
213	2591	8259
214	2621	8303
215	2649	8342
216	2685	8401
217	2709	8426
218	2730	8440
219	2753	8462
220	2776	8481
221	2805	8516
222	2824	8522
223	2844	8533
224	2859	8526
225	2879	8536
226	2899	8546
227	2921	8559
228	2944	8576
229	2964	8583
230	2988	8603
231	3016	8634
232	3059	8706
233	3077	8706
234	3119	8775
235	3154	8822
236	3181	8845
237	3207	8867
238	3232	8885
239	3268	8933
240	3291	8945
241	3314	8956
242	3334	8960
243	3357	8972
244	3380	8983
245	3402	8990
246	3421	8991
247	3441	8991
248	3464	9002
249	3482	8998
250	3497	8987
251	3510	8972
252	3528	8967
253	3544	8957
254	3559	8947
255	3574	8936
256	3590	8926
257	3604	8913
258	3620	8903
259	3635	8892
260	3649	8878
261	3668	8877
262	3688	8877
263	3706	8874
264	3722	8863
265	3736	8849
266	3751	8838
267	3765	8823
268	3779	8809
269	3793	8794
270	3804	8774
271	3816	8755
272	3828	8735
273	3838	8714
274	3848	8691
275	3860	8671
276	3870	8648
277	3879	8624
278	3889	8602
279	3899	8578
280	3910	8557
281	3920	8536
282	3931	8515
283	3942	8496
284	3952	8472
285	3962	8450
286	3974	8433
287	3986	8415
288	3999	8401
289	4012	8383
290	4025	8370
291	4040	8358
292	4052	8339
293	4062	8318
294	4072	8297
295	4082	8275
296	4092	8253
297	4102	8232
298	4113	8213
299	4124	8193
300	4135	8174
301	4148	8158
302	4161	8145
303	4172	8125
304	4184	8108
305	4196	8090
306	4209	8075
307	4218	8053
308	4228	8032
309	4239	8013
310	4251	7996
311	4260	7975
312	4272	7958
313	4283	7939
314	4294	7920
315	4305	7902
316	4316	7884
317	4326	7864
318	4338	7846
319	4349	7828
320	4359	7808
321	4369	7789
322	4380	7770
323	4389	7749
